,Sentences,Word,POST,Predicted
170,,resulted,VBD,O
171,,in,IN,O
172,,a,DT,O
173,,strengthening,NN,O
174,,of,IN,O
175,,Slovak,JJ,B-gpe
176,,nationalism,NN,O
177,,and,CC,O
178,,a,DT,O
179,,cultivation,NN,O
180,,of,IN,O
181,,cultural,JJ,O
182,,ties,NNS,O
183,,with,IN,O
184,,the,DT,O
185,,closely,RB,O
186,,related,JJ,O
187,,Czechs,NNS,B-gpe
188,,",",",",O
189,,who,WP,O
190,,were,VBD,O
191,,themselves,PRP,O
192,,ruled,VBN,O
193,,by,IN,O
194,,the,DT,O
195,,Austrians,NNS,B-gpe
196,,.,.,O
197,Sentence: 9008,After,IN,O
198,,the,DT,O
199,,dissolution,NN,O
200,,of,IN,O
201,,the,DT,O
202,,Austro-Hungarian,JJ,B-org
203,,Empire,NN,I-org
204,,at,IN,O
205,,the,DT,O
206,,close,NN,O
207,,of,IN,O
208,,World,NNP,O
209,,War,NNP,O
210,,I,NNP,B-eve
211,,",",",",O
212,,the,DT,O
213,,Slovaks,NNS,B-gpe
214,,joined,VBD,O
215,,the,DT,O
216,,Czechs,NNS,B-gpe
217,,to,TO,O
218,,form,VB,O
219,,Czechoslovakia,NNP,B-geo
220,,.,.,O
221,Sentence: 9009,Following,VBG,O
222,,the,DT,O
223,,chaos,NN,O
224,,of,IN,O
225,,World,NNP,O
226,,War,NNP,O
227,,II,NNP,B-eve
228,,",",",",O
229,,Czechoslovakia,NNP,B-geo
230,,became,VBD,O
231,,a,DT,O
232,,Communist,JJ,O
233,,nation,NN,O
234,,within,IN,O
235,,Soviet-dominated,JJ,O
236,,Eastern,NNP,B-geo
237,,Europe,NNP,I-geo
238,,.,.,O
239,Sentence: 9010,Soviet,JJ,O
240,,influence,NN,O
241,,collapsed,VBD,O
242,,in,IN,O
243,,1989,CD,B-tim
244,,and,CC,O
245,,Czechoslovakia,NNP,B-geo
246,,once,RB,O
247,,more,JJR,O
248,,became,VBD,O
249,,free,JJ,O
250,,.,.,O
251,Sentence: 9011,The,DT,O
252,,Slovaks,NNS,B-gpe
253,,and,CC,O
254,,the,DT,O
255,,Czechs,NNS,B-gpe
256,,agreed,VBD,O
257,,to,TO,O
258,,separate,VB,O
259,,peacefully,RB,O
260,,on,IN,O
261,,1,CD,B-tim
262,,January,NNP,I-tim
263,,1993,CD,I-tim
264,,.,.,O
265,Sentence: 9012,Slovakia,NNP,B-org
266,,joined,VBD,O
267,,both,DT,O
268,,NATO,NNP,B-org
269,,and,CC,O
270,,the,DT,O
271,,EU,NNP,B-org
272,,in,IN,O
273,,the,DT,O
274,,spring,NN,B-tim
275,,of,IN,I-tim
276,,2004,CD,I-tim
277,,and,CC,O
278,,the,DT,O
279,,euro,NN,O
280,,area,NN,O
281,,on,IN,O
282,,1,CD,B-tim
283,,January,NNP,I-tim
284,,2009,CD,I-tim
285,,.,.,O
286,Sentence: 9013,The,DT,O
287,,French,JJ,B-gpe
288,,Territory,NN,O
289,,of,IN,O
290,,the,DT,O
291,,Afars,NNPS,B-org
292,,and,CC,O
293,,the,DT,O
294,,Issas,NNPS,B-org
295,,became,VBD,O
296,,Djibouti,NNP,B-geo
297,,in,IN,O
298,,1977,CD,B-tim
299,,.,.,O
300,Sentence: 9014,Hassan,NNP,B-per
301,,Gouled,NNP,I-per
302,,APTIDON,NNP,I-per
303,,installed,VBD,O
304,,an,DT,O
305,,authoritarian,JJ,O
306,,one-party,JJ,O
307,,state,NN,O
308,,and,CC,O
309,,proceeded,VBD,O
310,,to,TO,O
311,,serve,VB,O
312,,as,IN,O
313,,president,NN,O
314,,until,IN,O
315,,1999,CD,B-tim
316,,.,.,O
317,Sentence: 9015,Unrest,NNP,O
318,,among,IN,O
319,,the,DT,O
320,,Afars,NNPS,O
321,,minority,NN,O
322,,during,IN,O
323,,the,DT,O
324,,1990s,NNS,B-tim
325,,led,VBD,O
326,,to,TO,O
327,,a,DT,O
328,,civil,JJ,O
329,,war,NN,O
330,,that,WDT,O
331,,ended,VBD,O
332,,in,IN,O
333,,2001,CD,B-tim
334,,following,VBG,O
335,,the,DT,O
336,,conclusion,NN,O
337,,of,IN,O
338,,a,DT,O
339,,peace,NN,O
340,,accord,NN,O
341,,between,IN,O
342,,Afar,NNP,O
343,,rebels,NNS,O
344,,and,CC,O
345,,the,DT,O
346,,Issa-dominated,JJ,O
347,,government,NN,O
348,,.,.,O
349,Sentence: 9016,In,IN,O
350,,1999,CD,B-tim
351,,",",",",O
352,,Djibouti,NNP,B-org
353,,'s,POS,O
354,,first,JJ,O
355,,multi-party,JJ,O
356,,presidential,JJ,O
357,,elections,NNS,O
358,,resulted,VBD,O
359,,in,IN,O
360,,the,DT,O
361,,election,NN,O
362,,of,IN,O
363,,Ismail,NNP,B-per
364,,Omar,NNP,I-per
365,,GUELLEH,NNP,I-per
366,,;,;,O
367,,he,PRP,O
368,,was,VBD,O
369,,re-elected,VBN,O
370,,to,TO,O
371,,a,DT,O
372,,second,JJ,O
373,,term,NN,O
374,,in,IN,O
375,,2005,CD,B-tim
376,,.,.,O
377,Sentence: 9017,Djibouti,NNP,B-geo
378,,occupies,VBZ,O
379,,a,DT,O
380,,strategic,JJ,O
381,,geographic,JJ,O
382,,location,NN,O
383,,at,IN,O
384,,the,DT,O
385,,mouth,NN,O
386,,of,IN,O
387,,the,DT,O
388,,Red,NNP,B-geo
389,,Sea,NNP,I-geo
390,,and,CC,O
391,,serves,VBZ,O
392,,as,IN,O
393,,an,DT,O
394,,important,JJ,O
395,,transshipment,NN,O
396,,location,NN,O
397,,for,IN,O
398,,goods,NNS,O
399,,entering,VBG,O
400,,and,CC,O
401,,leaving,VBG,O
402,,the,DT,O
403,,east,JJ,O
404,,African,JJ,B-gpe
405,,highlands,NNS,O
406,,.,.,O
407,Sentence: 9018,The,DT,O
408,,present,JJ,O
409,,leadership,NN,O
410,,favors,VBZ,O
411,,close,JJ,O
412,,ties,NNS,O
413,,to,TO,O
414,,France,NNP,B-geo
415,,",",",",O
416,,which,WDT,O
417,,maintains,VBZ,O
418,,a,DT,O
419,,significant,JJ,O
420,,military,JJ,O
421,,presence,NN,O
422,,in,IN,O
423,,the,DT,O
424,,country,NN,O
425,,",",",",O
426,,but,CC,O
427,,also,RB,O
428,,has,VBZ,O
429,,strong,JJ,O
430,,ties,NNS,O
431,,with,IN,O
432,,the,DT,O
433,,US,NNP,B-org
434,,.,.,O
435,Sentence: 9019,Djibouti,NNP,B-org
436,,hosts,VBZ,O
437,,the,DT,O
438,,only,JJ,O
439,,US,NNP,B-gpe
440,,military,JJ,O
441,,base,NN,O
442,,in,IN,O
443,,sub-Saharan,JJ,O
444,,Africa,NNP,I-geo
445,,.,.,O
446,Sentence: 9020,THE,DT,O
447,,PIGEONS,NNS,O
448,,",",",",O
449,,terrified,VBN,O
450,,by,IN,O
451,,the,DT,O
452,,appearance,NN,O
453,,of,IN,O
454,,a,DT,O
455,,Kite,NN,O
456,,",",",",O
457,,called,VBD,O
458,,upon,IN,O
459,,the,DT,O
460,,Hawk,NN,O
461,,to,TO,O
462,,defend,VB,O
463,,them,PRP,O
464,,.,.,O
465,Sentence: 9021,He,PRP,O
466,,at,IN,O
467,,once,RB,O
468,,consented,VBN,O
469,,.,.,O
470,Sentence: 9022,When,WRB,O
471,,they,PRP,O
472,,had,VBD,O
473,,admitted,VBN,O
474,,him,PRP,O
475,,into,IN,O
476,,the,DT,O
477,,cote,NN,O
478,,",",",",O
479,,they,PRP,O
480,,found,VBD,O
481,,that,IN,O
482,,he,PRP,O
483,,made,VBD,O
484,,more,JJR,O
485,,havoc,NN,O
486,,and,CC,O
487,,slew,NN,O
488,,a,DT,O
489,,larger,JJR,O
490,,number,NN,O
491,,of,IN,O
492,,them,PRP,O
493,,in,IN,O
494,,one,CD,B-tim
495,,day,NN,O
496,,than,IN,O
497,,the,DT,O
498,,Kite,NN,O
499,,could,MD,O
500,,pounce,VB,O
501,,upon,IN,O
502,,in,IN,O
503,,a,DT,O
504,,whole,JJ,O
505,,year,NN,O
506,,.,.,O
507,Sentence: 9023,Avoid,VB,O
508,,a,DT,O
509,,remedy,NN,O
510,,that,WDT,O
511,,is,VBZ,O
512,,worse,JJR,O
513,,than,IN,O
514,,the,DT,O
515,,disease,NN,O
516,,.,.,O
517,Sentence: 9024,THE,DT,O
518,,members,NNS,O
519,,of,IN,O
520,,the,DT,O
521,,School,NNP,B-org
522,,Board,NNP,I-org
523,,in,IN,O
524,,Doosnoswair,NNP,B-geo
525,,being,VBG,O
526,,suspected,VBN,O
527,,of,IN,O
528,,appointing,VBG,O
529,,female,JJ,O
530,,teachers,NNS,O
531,,for,IN,O
532,,an,DT,O
533,,improper,JJ,O
534,,consideration,NN,O
535,,",",",",O
536,,the,DT,O
537,,people,NNS,O
538,,elected,VBD,O
539,,a,DT,O
540,,Board,NN,O
541,,composed,VBN,O
542,,wholly,RB,O
543,,of,IN,O
544,,women,NNS,O
545,,.,.,O
546,Sentence: 9025,In,IN,O
547,,a,DT,O
548,,few,JJ,B-tim
549,,years,NNS,O
550,,the,DT,O
551,,scandal,NN,O
552,,was,VBD,O
553,,at,IN,O
554,,an,DT,O
555,,end,NN,O
556,,;,;,O
557,,there,EX,O
558,,were,VBD,O
559,,no,DT,O
560,,female,JJ,O
561,,teachers,NNS,O
562,,in,IN,O
563,,the,DT,O
564,,Department,NN,B-org
565,,.,.,O
566,Sentence: 9026,A,DT,O
567,,January,NNP,B-tim
568,,1994,CD,I-tim
569,,Reuters,NNP,B-org
570,,News,NNP,I-org
571,,Service,NNP,I-org
572,,story,NN,O
573,,on,IN,O
574,,Manuel,NNP,B-per
575,,Oliveira,NNP,I-per
576,,'s,POS,O
577,,ice,NN,O
578,,cream,NN,O
579,,shop,NN,O
580,,in,IN,O
581,,Merida,NNP,B-geo
582,,",",",",O
583,,Venezuela,NNP,B-geo
584,,",",",",O
585,,reported,VBD,O
586,,on,IN,O
587,,his,PRP$,O
588,,567,CD,O
589,,flavors,NNS,O
590,,",",",",O
591,,including,VBG,O
592,,onion,NN,O
593,,",",",",O
594,,chili,NN,O
595,,",",",",O
596,,beer,NN,O
597,,",",",",O
598,,eggplant,NN,O
599,,",",",",O
600,,smoked,VBD,O
601,,trout,NN,O
602,,",",",",O
603,,spaghetti,NNS,O
604,,parmesan,NN,O
605,,",",",",O
606,,chicken,NN,O
607,,with,IN,O
608,,rice,NN,O
609,,",",",",O
610,,and,CC,O
611,,spinach,NN,O
612,,.,.,O
613,Sentence: 9027,He,PRP,O
614,,said,VBD,O
615,,some,DT,O
616,,flavors,NNS,O
617,,fail,VBP,O
618,,;,;,O
619,,he,PRP,O
620,,once,RB,O
621,,abandoned,VBD,O
622,,avocado,NN,O
623,,ice,NN,O
624,,cream,NN,O
625,,",",",",O
626,,and,CC,O
627,,tossed,VBD,O
628,,out,RP,O
629,,99,CD,O
630,,pounds,NNS,O
631,,of,IN,O
632,,it,PRP,O
633,,",",",",O
634,,because,IN,O
635,,it,PRP,O
636,,was,VBD,O
637,,n't,RB,O
638,,smooth,JJ,O
639,,enough,RB,O
640,,.,.,O
641,Sentence: 9028,According,VBG,O
642,,to,TO,O
643,,a,DT,O
644,,news,NN,O
645,,report,NN,O
646,,",",",",O
647,,a,DT,O
648,,certain,JJ,O
649,,private,JJ,O
650,,school,NN,O
651,,in,IN,O
652,,Victoria,NNP,B-geo
653,,",",",",O
654,,BC,NNP,B-geo
655,,",",",",O
656,,recently,RB,O
657,,was,VBD,O
658,,faced,VBN,O
659,,with,IN,O
660,,a,DT,O
661,,unique,JJ,O
662,,problem,NN,O
663,,.,.,O
664,Sentence: 9029,A,DT,O
665,,number,NN,O
666,,of,IN,O
667,,grade,NN,O
668,,12,CD,O
669,,girls,NNS,O
670,,were,VBD,O
671,,beginning,VBG,O
672,,to,TO,O
673,,use,VB,O
674,,lipstick,NN,O
675,,and,CC,O
676,,would,MD,O
677,,put,VB,O
678,,it,PRP,O
679,,on,IN,O
680,,in,IN,O
681,,the,DT,O
682,,bathroom,NN,O
683,,.,.,O
684,Sentence: 9030,That,DT,O
685,,was,VBD,O
686,,fine,JJ,O
687,,",",",",O
688,,but,CC,O
689,,after,IN,O
690,,they,PRP,O
691,,put,VBD,O
692,,on,IN,O
693,,their,PRP$,O
694,,lipstick,NN,O
695,,they,PRP,O
696,,would,MD,O
697,,press,VB,O
698,,their,PRP$,O
699,,lips,NNS,O
700,,to,TO,O
701,,the,DT,O
702,,mirror,NN,O
703,,leaving,VBG,O
704,,dozens,NNS,O
705,,of,IN,O
706,,little,JJ,O
707,,lip,JJ,O
708,,prints,NNS,O
709,,.,.,O
710,Sentence: 9031,Every,DT,O
711,,night,NN,O
712,,",",",",O
713,,the,DT,O
714,,maintenance,NN,O
715,,man,NN,O
716,,would,MD,O
717,,remove,VB,O
718,,them,PRP,O
719,,and,CC,O
720,,the,DT,O
721,,next,JJ,O
722,,day,NN,O
723,,",",",",O
724,,The,DT,O
725,,girls,NNS,O
726,,would,MD,O
727,,put,VB,O
728,,them,PRP,O
729,,back,RB,O
730,,.,.,O
731,Sentence: 9032,Finally,RB,O
732,,the,DT,O
733,,principal,NN,O
734,,decided,VBD,O
735,,that,IN,O
736,,something,DT,O
737,,had,VBD,O
738,,to,TO,O
739,,be,VB,O
740,,done,VBN,O
741,,.,.,O
742,Sentence: 9033,She,PRP,O
743,,called,VBD,O
744,,all,PDT,O
745,,the,DT,O
746,,girls,NNS,O
747,,to,TO,O
748,,the,DT,O
749,,bathroom,NN,O
750,,and,CC,O
751,,met,VBD,O
752,,them,PRP,O
753,,there,RB,O
754,,with,IN,O
755,,the,DT,O
756,,maintenance,NN,O
757,,man,NN,O
758,,.,.,O
759,Sentence: 9034,She,PRP,O
760,,explained,VBD,O
761,,that,IN,O
762,,all,DT,O
763,,these,DT,O
764,,lip,JJ,O
765,,prints,NNS,O
766,,were,VBD,O
767,,causing,VBG,O
768,,a,DT,O
769,,major,JJ,O
770,,problem,NN,O
771,,for,IN,O
772,,the,DT,O
773,,custodian,NN,O
774,,who,WP,O
775,,had,VBD,O
776,,to,TO,O
777,,clean,VB,O
778,,the,DT,O
779,,mirrors,NNS,O
780,,every,DT,O
781,,night,NN,B-tim
782,,.,.,O
783,Sentence: 9035,To,TO,O
784,,demonstrate,VB,O
785,,how,WRB,O
786,,difficult,JJ,O
787,,it,PRP,O
788,,had,VBD,O
789,,been,VBN,O
790,,to,TO,O
791,,clean,VB,O
792,,the,DT,O
793,,mirrors,NNS,O
794,,",",",",O
795,,she,PRP,O
796,,asked,VBD,O
797,,the,DT,O
798,,maintenance,NN,O
799,,man,NN,O
800,,to,TO,O
801,,show,VB,O
802,,the,DT,O
803,,girls,NNS,O
804,,how,WRB,O
805,,much,JJ,O
806,,effort,NN,O
807,,was,VBD,O
808,,required,VBN,O
809,,.,.,O
810,Sentence: 9036,He,PRP,O
811,,took,VBD,O
812,,out,RP,O
813,,a,DT,O
814,,long-handled,JJ,O
815,,squeegee,NN,O
816,,",",",",O
817,,dipped,VBD,O
818,,it,PRP,O
819,,in,IN,O
820,,the,DT,O
821,,toilet,NN,O
822,,",",",",O
823,,and,CC,O
824,,cleaned,VBD,O
825,,the,DT,O
826,,mirror,NN,O
827,,with,IN,O
828,,it,PRP,O
829,,.,.,O
830,Sentence: 9037,Since,IN,O
831,,then,RB,O
832,,",",",",O
833,,there,EX,O
834,,have,VBP,O
835,,been,VBN,O
836,,no,DT,O
837,,lip,JJ,O
838,,prints,NNS,O
839,,on,IN,O
840,,the,DT,O
841,,mirror,NN,O
842,,.,.,O
843,Sentence: 9038,There,EX,O
844,,are,VBP,O
845,,teachers,NNS,O
846,,",",",",O
847,,and,CC,O
848,,then,RB,O
849,,there,EX,O
850,,are,VBP,O
851,,educators,NNS,O
852,,.,:,O
853,Sentence: 9039,I,PRP,O
854,,am,VBP,O
855,,not,RB,O
856,,a,DT,O
857,,believer,NN,O
858,,in,IN,O
859,,sances,NNS,O
860,,",",",",O
861,,but,CC,O
862,,I,PRP,O
863,,went,VBD,O
864,,to,TO,O
865,,one,CD,O
866,,just,RB,O
867,,to,TO,O
868,,see,VB,O
869,,what,WP,O
870,,they,PRP,O
871,,are,VBP,O
872,,like,IN,O
873,,.,.,O
874,Sentence: 9040,The,DT,O
875,,psychic,NN,O
876,,was,VBD,O
877,,doing,VBG,O
878,,his,PRP$,O
879,,thing,NN,O
880,,and,CC,O
881,,grinning,VBG,O
882,,from,IN,O
883,,ear,JJ,O
884,,to,TO,O
885,,ear,VB,O
886,,.,.,O
887,Sentence: 9041,I,PRP,O
888,,assumed,VBD,O
889,,his,PRP$,O
890,,merriment,NN,O
891,,was,VBD,O
892,,due,JJ,O
893,,to,TO,O
894,,the,DT,O
895,,fact,NN,O
896,,that,IN,O
897,,he,PRP,O
898,,was,VBD,O
899,,fooling,VBG,O
900,,a,DT,O
901,,gullible,JJ,O
902,,public,NN,O
903,,and,CC,O
904,,gave,VBD,O
905,,him,PRP,O
906,,a,DT,O
907,,poke,NN,O
908,,in,IN,O
909,,the,DT,O
910,,nose,NN,O
911,,.,.,O
912,Sentence: 9042,You,PRP,O
913,,can,MD,O
914,,probably,RB,O
915,,guess,VB,O
916,,the,DT,O
917,,rest,NN,O
918,,.,:,O
919,Sentence: 9043,I,PRP,O
920,,was,VBD,O
921,,arrested,VBN,O
922,,for,IN,O
923,,striking,VBG,O
924,,a,DT,O
925,,happy,JJ,O
926,,medium,NN,O
927,,.,:,O
928,Sentence: 9044,Ethiopia,NNP,B-geo
929,,Saturday,NNP,B-tim
930,,released,VBD,O
931,,32,CD,O
932,,supporters,NNS,O
933,,of,IN,O
934,,the,DT,O
935,,political,JJ,O
936,,opposition,NN,O
937,,who,WP,O
938,,had,VBD,O
939,,been,VBN,O
940,,detained,VBN,O
941,,since,IN,O
942,,post-election,JJ,O
943,,violence,NN,O
944,,in,IN,O
945,,2005,CD,B-tim
946,,.,.,O
947,Sentence: 9045,Their,PRP$,O
948,,release,NN,O
949,,comes,VBZ,O
950,,after,IN,O
951,,Ethiopia,NNP,B-geo
952,,pardoned,VBD,O
953,,another,DT,O
954,,38,CD,O
955,,opposition,NN,O
956,,members,NNS,O
957,,last,JJ,O
958,,month,NN,O
959,,.,.,O
960,Sentence: 9046,That,DT,O
961,,group,NN,O
962,,had,VBD,O
963,,received,VBN,O
964,,life,NN,O
965,,sentences,NNS,O
966,,in,IN,O
967,,court,NN,O
968,,the,DT,O
969,,week,NN,O
970,,before,IN,O
971,,their,PRP$,O
972,,pardons,NNS,O
973,,.,.,O
974,Sentence: 9047,None,NN,O
975,,of,IN,O
976,,the,DT,O
977,,32,CD,O
978,,freed,VBN,O
979,,Saturday,NNP,B-tim
980,,had,VBD,O
981,,been,VBN,O
982,,charged,VBN,O
983,,in,IN,O
984,,court,NN,O
985,,with,IN,O
986,,any,DT,O
987,,crimes,NNS,O
988,,.,.,O
989,Sentence: 9048,All,DT,O
990,,had,VBD,O
991,,been,VBN,O
992,,rounded,VBN,O
993,,up,RP,O
994,,after,IN,O
995,,protests,NNS,O
996,,over,IN,O
997,,the,DT,O
998,,2005,CD,B-tim
999,,elections,NNS,O
1000,,turned,VBD,O
1001,,violent,JJ,O
1002,,.,.,O
1003,Sentence: 9049,The,DT,O
1004,,opposition,NN,O
1005,,made,VBD,O
1006,,its,PRP$,O
1007,,largest,JJS,O
1008,,gains,NNS,O
1009,,ever,RB,O
1010,,in,IN,O
1011,,those,DT,O
1012,,elections,NNS,O
1013,,.,.,O
1014,Sentence: 9050,Opposition,NN,O
1015,,groups,NNS,O
1016,,claimed,VBD,O
1017,,the,DT,O
1018,,elections,NNS,O
1019,,were,VBD,O
1020,,rigged,VBN,O
1021,,to,TO,O
1022,,keep,VB,O
1023,,Prime,NNP,B-per
1024,,Minister,NNP,I-per
1025,,Meles,NNP,I-per
1026,,Zenawi,NNP,I-per
1027,,in,IN,O
1028,,power,NN,O
1029,,.,.,O
1030,Sentence: 9051,Ethiopian,JJ,B-gpe
1031,,security,NN,O
1032,,forces,NNS,O
1033,,killed,VBN,O
1034,,at,IN,O
1035,,least,JJS,O
1036,,193,CD,O
1037,,people,NNS,O
1038,,while,IN,O
1039,,stopping,VBG,O
1040,,the,DT,O
1041,,protests,NNS,O
1042,,.,.,O
1043,Sentence: 9052,World,NNP,O
1044,,oil,NN,O
1045,,prices,NNS,O
1046,,hit,VBD,O
1047,,a,DT,O
1048,,new,JJ,O
1049,,record,NN,O
1050,,in,IN,O
1051,,Wednesday,NNP,B-tim
1052,,'s,POS,O
1053,,trading,NN,O
1054,,",",",",O
1055,,hitting,VBG,O
1056,,$,$,O
1057,,99.29,CD,O
1058,,a,DT,O
1059,,barrel,NN,O
1060,,before,IN,O
1061,,easing,VBG,O
1062,,downward,JJ,O
1063,,.,.,O
1064,Sentence: 9053,That,DT,O
1065,,is,VBZ,O
1066,,67,CD,O
1067,,cents,NNS,O
1068,,above,IN,O
1069,,the,DT,O
1070,,previous,JJ,O
1071,,record,NN,O
1072,,",",",",O
1073,,which,WDT,O
1074,,was,VBD,O
1075,,set,VBN,O
1076,,on,IN,O
1077,,November,NNP,B-tim
1078,,7,CD,I-tim
1079,,.,.,O
1080,Sentence: 9054,Traders,NNS,O
1081,,say,VBP,O
1082,,the,DT,O
1083,,soaring,VBG,O
1084,,prices,NNS,O
1085,,stem,VBP,O
1086,,from,IN,O
1087,,the,DT,O
1088,,declining,VBG,O
1089,,value,NN,O
1090,,of,IN,O
1091,,the,DT,O
1092,,U.S.,NNP,B-gpe
1093,,dollar,NN,O
1094,,and,CC,O
1095,,worries,NNS,O
1096,,about,IN,O
1097,,the,DT,O
1098,,supply,NN,O
1099,,of,IN,O
1100,,oil,NN,O
1101,,in,IN,O
1102,,the,DT,O
1103,,Northern,NNP,B-geo
1104,,Hemisphere,NNP,I-geo
1105,,as,IN,O
1106,,winter,NN,O
1107,,approaches,NNS,O
1108,,.,.,O
1109,Sentence: 9055,A,DT,O
1110,,U.S.,NNP,B-org
1111,,Energy,NNP,I-org
1112,,Department,NNP,I-org
1113,,report,NN,O
1114,,Wednesday,NNP,B-tim
1115,,says,VBZ,O
1116,,the,DT,O
1117,,amount,NN,O
1118,,of,IN,O
1119,,oil,NN,O
1120,,available,JJ,O
1121,,in,IN,O
1122,,the,DT,O
1123,,United,NNP,B-geo
1124,,States,NNPS,I-geo
1125,,declined,VBD,O
1126,,slightly,RB,O
1127,,last,JJ,O
1128,,week,NN,O
1129,,by,IN,O
1130,,a,DT,O
1131,,bit,NN,O
1132,,more,RBR,O
1133,,than,IN,O
1134,,one,CD,O
1135,,million,CD,O
1136,,barrels,NNS,O
1137,,",",",",O
1138,,to,TO,O
1139,,a,DT,O
1140,,total,NN,O
1141,,of,IN,O
1142,,nearly,RB,O
1143,,314,CD,O
1144,,million,CD,O
1145,,barrels,NNS,O
1146,,.,.,O
1147,Sentence: 9056,French,JJ,B-gpe
1148,,Foreign,NNP,O
1149,,Minister,NNP,I-per
1150,,Philippe,NNP,I-per
1151,,Douste-Blazy,NNP,I-per
1152,,is,VBZ,O
1153,,in,IN,O
1154,,Moscow,NNP,B-geo
1155,,for,IN,O
1156,,talks,NNS,O
1157,,with,IN,O
1158,,top,JJ,O
1159,,Russian,JJ,B-gpe
1160,,officials,NNS,O
1161,,expected,VBN,O
1162,,to,TO,O
1163,,focus,VB,O
1164,,on,IN,O
1165,,Iran,NNP,B-geo
1166,,'s,POS,O
1167,,nuclear,JJ,O
1168,,program,NN,O
1169,,.,.,O
1170,Sentence: 9057,France,NNP,B-geo
1171,,",",",",O
1172,,along,IN,O
